project,avg_#author_aff,avg_#author_nonaff,avg_#changeCmt_aff,avg_#changeCmt_nonaff,avg_#changeLoc_aff,avg_#changeLoc_nonaff,avg_#issue_aff,avg_#issue_nonaff,avg_#issueCmt_aff,avg_#issueCmt_nonaff,avg_#issueLoc_aff,avg_#issueLoc_nonaff
A-T,37,5,162,16,6228,710,78,8,116,11,4075,420
A-R,29,5,121,13,4782,642,53,6,77,8,2725,329
A-S,18,4,70,11,2610,553,36,5,51,7,1781,304
A-Q,28,4,129,12,5726,641,50,4,69,6,2673,249
C-13,43,5,198,17,8025,763,100,8,145,12,5502,449
C-12,40,5,181,16,7355,719,89,8,129,11,4742,426
C-11,34,5,168,15,6866,702,77,7,114,9,4357,365
L-20.0,41,5,182,17,6485,765,94,8,135,12,4549,453
L-19.1,33,5,142,14,5241,665,70,7,101,10,3464,392
L-18.1,31,5,126,14,4509,661,60,6,84,9,2820,338
L-17.1,26,4,117,12,4497,636,51,5,71,7,2593,281
L-16.0,21,4,103,12,4246,658,42,4,56,6,2143,253
O-13.0,33,6,159,19,6083,810,79,9,117,13,4157,484
O-12.0,29,5,137,16,4966,724,67,8,98,11,3536,426
O-11,30,4,121,13,4678,616,54,6,76,8,2658,314
O-10,25,4,112,13,4153,654,48,5,67,7,2250,295
O-9,25,4,118,12,4570,672,47,5,63,6,2155,263
I-E,19,3,67,7,2827,295,27,4,40,5,1412,197
I-D,19,2,64,6,2733,251,26,3,39,4,1390,167
I-C,19,3,65,7,2788,282,27,4,40,5,1421,187
I-B,23,3,83,7,3395,295,35,4,51,5,1754,206
I-A,28,5,96,14,4304,586,39,7,59,10,2169,355
