,ID2,,CD1,,UD1,,UD3,,UD4,,UD5,
project,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable,mitigable,notMitigable
A-Q,14,0,0,0,0,0,2,1,0,2,5,0
A-R,15,0,0,0,0,0,3,2,0,2,9,2
A-S,493,104,2,0,0,0,65,35,2,2,74,67
A-T,32,0,0,0,0,0,13,0,0,4,3,2
C-13,19,0,0,0,0,0,1,0,0,0,2,0
C-12,7,0,0,0,0,0,0,0,0,0,7,1
C-11,3,0,0,0,0,0,0,0,0,0,5,2
L-20.0,63,1,0,0,0,0,10,4,0,0,1,0
L-19.1,53,4,0,0,40,43,8,0,0,2,12,5
L-18.1,52,3,0,0,77,51,8,0,0,2,10,6
L-17.1,54,6,0,0,0,0,9,1,1,2,11,12
L-16.0,39,6,0,0,0,0,7,0,0,2,9,9
O-13.0,22,0,0,0,0,0,0,0,0,0,0,0
O-12.0,14,2,0,0,0,0,0,1,0,0,1,0
O-11,36,4,0,0,0,0,6,4,0,2,11,5
O-10,27,3,0,0,0,0,4,1,0,2,2,9
O-9,21,2,0,0,0,0,2,7,0,2,0,3
I-E,46,9,5,26,3292,7554,116,74,10,9,293,161
I-D,90,22,5,26,3249,7669,174,130,19,11,302,150
I-C,86,21,5,26,3174,7301,173,129,19,11,292,144
I-B,99,24,5,28,3134,7131,158,111,7,12,274,117
I-A,87,18,17,18,2383,4878,168,91,11,9,96,61
SUM,1372,229,39,124,15349,34627,927,591,69,76,1419,756
MP_i,85.70%,,23.93%,,30.71%,,61.07%,,47.59%,,65.24%,
average(MP_i),52.37%,,,,,,,,,,,
