project,pattern_cls,design_smell_aff_files_count,gap_aff_files_count,overlap,union,P_ol
A-T,AWD,329,645,17,957,5.17
A-S,AWD,1463,3741,698,4506,47.71
A-R,AWD,333,3574,149,3758,44.74
A-Q,AWD,212,2809,122,2899,57.55
C-13,AWD,100,643,3,740,3.0
C-12,AWD,75,3707,44,3738,58.67
C-11,AWD,90,3586,60,3616,66.67
L-20.0,AWD,176,643,8,811,4.55
L-19.1,AWD,263,3750,137,3876,52.09
L-18.1,AWD,275,3593,154,3714,56.0
L-17.1,AWD,270,3190,164,3296,60.74
L-16.0,AWD,255,2822,166,2911,65.1
O-13.0,AWD,96,643,1,738,1.04
O-12.0,AWD,100,3707,70,3737,70.0
O-11,AWD,419,3601,229,3791,54.65
O-10,AWD,247,3195,150,3292,60.73
O-9,AWD,199,2818,131,2886,65.83
I-E,AWD,2146,2514,735,3925,34.25
I-D,AWD,2308,3600,987,4921,42.76
I-C,AWD,2246,3325,961,4610,42.79
I-B,AWD,2221,3056,938,4339,42.23
I-A,AWD,1817,2693,816,3694,44.91
A-S,CH,1463,157,17,1603,1.16
A-R,CH,333,146,16,463,4.8
A-Q,CH,212,110,5,317,2.36
C-12,CH,75,154,0,229,0.0
C-11,CH,90,144,0,234,0.0
L-19.1,CH,263,155,1,417,0.38
L-18.1,CH,275,144,1,418,0.36
L-17.1,CH,270,106,2,374,0.74
L-16.0,CH,255,110,2,363,0.78
O-12.0,CH,100,154,1,253,1.0
O-11,CH,419,146,8,557,1.91
O-10,CH,247,107,4,350,1.62
O-9,CH,199,110,3,306,1.51
I-E,CH,2146,147,30,2263,1.4
I-D,CH,2308,187,43,2452,1.86
I-C,CH,2246,187,43,2390,1.91
I-B,CH,2221,192,54,2359,2.43
I-A,CH,1817,155,36,1936,1.98
A-T,FE,329,1280,129,1480,39.21
A-S,FE,1463,754,271,1946,18.52
A-R,FE,333,543,44,832,13.21
A-Q,FE,212,323,35,500,16.51
C-13,FE,100,1268,50,1318,50.0
C-12,FE,75,714,20,769,26.67
C-11,FE,90,543,17,616,18.89
L-20.0,FE,176,1270,82,1364,46.59
L-19.1,FE,263,754,68,949,25.86
L-18.1,FE,275,546,58,763,21.09
L-17.1,FE,270,408,31,647,11.48
L-16.0,FE,255,324,21,558,8.24
O-13.0,FE,96,1269,45,1320,46.88
O-12.0,FE,100,712,23,789,23.0
O-11,FE,419,545,64,900,15.27
O-10,FE,247,407,35,619,14.17
O-9,FE,199,324,25,498,12.56
I-E,FE,2146,795,199,2742,9.27
I-D,FE,2308,957,247,3018,10.7
I-C,FE,2246,923,245,2924,10.91
I-B,FE,2221,812,234,2799,10.54
I-A,FE,1817,582,180,2219,9.91
A-T,MH,329,26,1,354,0.3
A-S,MH,1463,273,50,1686,3.42
A-R,MH,333,256,20,569,6.01
A-Q,MH,212,208,5,415,2.36
C-13,MH,100,26,0,126,0.0
C-12,MH,75,274,4,345,5.33
C-11,MH,90,261,3,348,3.33
L-20.0,MH,176,26,0,202,0.0
L-19.1,MH,263,274,12,525,4.56
L-18.1,MH,275,261,12,524,4.36
L-17.1,MH,270,219,7,482,2.59
L-16.0,MH,255,210,8,457,3.14
O-13.0,MH,96,26,0,122,0.0
O-12.0,MH,100,274,6,368,6.0
O-11,MH,419,261,21,659,5.01
O-10,MH,247,219,7,459,2.83
O-9,MH,199,207,6,400,3.02
I-E,MH,2146,237,58,2325,2.7
I-D,MH,2308,302,76,2534,3.29
I-C,MH,2246,290,76,2460,3.38
I-B,MH,2221,257,78,2400,3.51
I-A,MH,1817,220,65,1972,3.58
A-T,SS,329,7,0,336,0.0
A-S,SS,1463,317,132,1648,9.02
A-R,SS,333,305,49,589,14.71
A-Q,SS,212,231,36,407,16.98
C-13,SS,100,7,0,107,0.0
C-12,SS,75,310,8,377,10.67
C-11,SS,90,303,17,376,18.89
L-20.0,SS,176,7,0,183,0.0
L-19.1,SS,263,318,42,539,15.97
L-18.1,SS,275,304,44,535,16.0
L-17.1,SS,270,269,39,500,14.44
L-16.0,SS,255,228,32,451,12.55
O-13.0,SS,96,7,0,103,0.0
O-12.0,SS,100,310,11,399,11.0
O-11,SS,419,305,74,650,17.66
O-10,SS,247,269,34,482,13.77
O-9,SS,199,228,29,398,14.57
I-E,SS,2146,217,141,2222,6.57
I-D,SS,2308,342,193,2457,8.36
I-C,SS,2246,308,184,2370,8.19
I-B,SS,2221,299,179,2341,8.06
I-A,SS,1817,266,168,1915,9.25
